,checking_account_status,loan_duration_mo,credit_history,purpose,loan_amount,savings_account_balance,time_employed_yrs,payment_pcnt_income,gender_status,other_signators,time_in_residence,property,age_yrs,other_credit_outstanding,home_ownership,number_loans,job_category,dependents,telephone,foreign_worker,bad_credit,dummy,checking_account_status_cat,credit_history_cat,purpose_cat,savings_account_balance_cat,time_employed_yrs_cat,gender_status_cat,other_signators_cat,property_cat,other_credit_outstanding_cat,home_ownership_cat,job_category_cat,telephone_cat,foreign_worker_cat
252,> 200 DM or salary assignment,24,current loans paid,furniture/equipment,1925,< 100 DM,1 - 4 years,2,male-single,none,2,real estate,26,none,own,1,skilled,1,none,yes,0,1.0,2,2,5,2,0,3,2,2,1,1,1,0,1
253,none,18,current loans paid,radio/television,433,< 100 DM,unemployed,3,female-divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled,1,none,yes,1,1.0,3,2,7,2,4,0,0,2,1,2,1,0,1
254,< 0 DM,6,critical account - other non-bank loans,car (new),666,>= 1000 DM,4 - 7 years,3,female-divorced/separated/married,none,4,real estate,39,none,own,2,unskilled-resident,1,yes,yes,0,1.0,1,1,1,3,1,0,2,2,1,1,3,1,1
255,> 200 DM or salary assignment,12,current loans paid,furniture/equipment,2251,< 100 DM,1 - 4 years,1,female-divorced/separated/married,none,2,car or other,46,none,own,1,unskilled-resident,1,none,yes,0,1.0,2,2,5,2,0,0,2,1,1,1,3,0,1
256,0 - 200 DM,30,current loans paid,car (new),2150,< 100 DM,1 - 4 years,4,female-divorced/separated/married,guarantor,2,unknown-none,24,bank,own,1,skilled,1,none,yes,1,1.0,0,2,1,2,0,0,1,3,0,1,1,0,1
257,none,24,past payment delays,furniture/equipment,4151,100 - 500 DM,1 - 4 years,2,male-single,none,3,building society savings/life insurance,35,none,own,2,skilled,1,none,yes,0,1.0,3,4,5,0,0,3,2,0,1,1,1,0,1
258,0 - 200 DM,9,current loans paid,furniture/equipment,2030,unknown/none,4 - 7 years,2,male-single,none,1,car or other,24,none,own,1,skilled,1,yes,yes,0,1.0,0,2,5,4,1,3,2,1,1,1,1,1,1
259,0 - 200 DM,60,past payment delays,radio/television,7418,unknown/none,1 - 4 years,1,male-single,none,1,real estate,27,none,own,1,unskilled-resident,1,none,yes,0,1.0,0,4,7,4,0,3,2,2,1,1,3,0,1
260,none,24,critical account - other non-bank loans,radio/television,2684,< 100 DM,1 - 4 years,4,male-single,none,2,real estate,35,none,own,2,unskilled-resident,1,none,yes,0,1.0,3,1,7,2,0,3,2,2,1,1,3,0,1
261,< 0 DM,12,all loans at bank paid,radio/television,2149,< 100 DM,1 - 4 years,4,male-divorced/separated,none,1,unknown-none,29,none,for free,1,skilled,1,none,yes,1,1.0,1,0,7,2,0,1,2,3,1,0,1,0,1
262,none,15,current loans paid,car (used),3812,100 - 500 DM,< 1 year,1,female-divorced/separated/married,none,4,car or other,23,none,own,1,skilled,1,yes,yes,0,1.0,3,2,2,0,2,0,2,1,1,1,1,1,1
263,none,11,critical account - other non-bank loans,radio/television,1154,100 - 500 DM,unemployed,4,female-divorced/separated/married,none,4,real estate,57,none,own,3,unskilled-resident,1,none,yes,0,1.0,3,1,7,0,4,0,2,2,1,1,3,0,1
264,< 0 DM,12,current loans paid,furniture/equipment,1657,< 100 DM,1 - 4 years,2,male-single,none,2,real estate,27,none,own,1,skilled,1,none,yes,0,1.0,1,2,5,2,0,3,2,2,1,1,1,0,1
265,< 0 DM,24,current loans paid,radio/television,1603,< 100 DM,>= 7 years,4,female-divorced/separated/married,none,4,car or other,55,none,own,1,skilled,1,none,yes,0,1.0,1,2,7,2,3,0,2,1,1,1,1,0,1
266,< 0 DM,18,critical account - other non-bank loans,car (new),5302,< 100 DM,>= 7 years,2,male-single,none,4,unknown-none,36,none,for free,3,highly skilled,1,yes,yes,0,1.0,1,1,1,2,3,3,2,3,1,0,0,1,1
267,none,12,critical account - other non-bank loans,education,2748,< 100 DM,>= 7 years,2,female-divorced/separated/married,none,4,unknown-none,57,bank,for free,3,unskilled-resident,1,none,yes,0,1.0,3,1,4,2,3,0,2,3,0,0,3,0,1
268,none,10,critical account - other non-bank loans,car (new),1231,< 100 DM,>= 7 years,3,male-single,none,4,real estate,32,none,own,2,unskilled-resident,2,none,no,0,1.0,3,1,1,2,3,3,2,2,1,1,3,0,0
269,0 - 200 DM,15,current loans paid,radio/television,802,< 100 DM,>= 7 years,4,male-single,none,3,car or other,37,none,own,1,skilled,2,none,yes,1,1.0,0,2,7,2,3,3,2,1,1,1,1,0,1
270,none,36,critical account - other non-bank loans,business,6304,unknown/none,>= 7 years,4,male-single,none,4,real estate,36,none,own,2,skilled,1,none,yes,0,1.0,3,1,0,4,3,3,2,2,1,1,1,0,1
271,none,24,current loans paid,radio/television,1533,< 100 DM,< 1 year,4,female-divorced/separated/married,none,3,car or other,38,stores,own,1,skilled,1,yes,yes,0,1.0,3,2,7,2,2,0,2,1,2,1,1,1,1
272,< 0 DM,14,current loans paid,car (new),8978,< 100 DM,>= 7 years,1,male-divorced/separated,none,4,building society savings/life insurance,45,none,own,1,highly skilled,1,yes,no,1,1.0,1,2,1,2,3,1,2,0,1,1,0,1,0
273,none,24,current loans paid,radio/television,999,unknown/none,>= 7 years,4,male-single,none,2,car or other,25,none,own,2,skilled,1,none,yes,0,1.0,3,2,7,4,3,3,2,1,1,1,1,0,1
274,none,18,current loans paid,car (new),2662,unknown/none,4 - 7 years,4,male-single,none,3,building society savings/life insurance,32,none,own,1,skilled,1,none,no,0,1.0,3,2,1,4,1,3,2,0,1,1,1,0,0
275,none,12,critical account - other non-bank loans,furniture/equipment,1402,500 - 1000 DM,4 - 7 years,3,female-divorced/separated/married,none,4,car or other,37,none,rent,1,skilled,1,yes,yes,0,1.0,3,1,5,1,1,0,2,1,1,2,1,1,1
276,0 - 200 DM,48,all loans at bank paid,car (new),12169,unknown/none,unemployed,4,male-single,co-applicant,4,unknown-none,36,none,for free,1,highly skilled,1,yes,yes,0,1.0,0,0,1,4,4,3,0,3,1,0,0,1,1
277,0 - 200 DM,48,current loans paid,radio/television,3060,< 100 DM,4 - 7 years,4,male-single,none,4,real estate,28,none,own,2,skilled,1,none,yes,1,1.0,0,2,7,2,1,3,2,2,1,1,1,0,1
278,< 0 DM,30,current loans paid,repairs,11998,< 100 DM,< 1 year,1,male-divorced/separated,none,1,unknown-none,34,none,own,1,unskilled-resident,1,yes,yes,1,1.0,1,2,8,2,2,1,2,3,1,1,3,1,1
279,none,9,current loans paid,radio/television,2697,< 100 DM,1 - 4 years,1,male-single,none,2,real estate,32,none,own,1,skilled,2,none,yes,0,1.0,3,2,7,2,0,3,2,2,1,1,1,0,1
280,none,18,critical account - other non-bank loans,radio/television,2404,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,2,car or other,26,none,own,2,skilled,1,none,yes,0,1.0,3,1,7,2,0,0,2,1,1,1,1,0,1
281,< 0 DM,12,current loans paid,furniture/equipment,1262,unknown/none,>= 7 years,2,male-divorced/separated,none,4,building society savings/life insurance,49,none,own,1,unskilled-resident,1,yes,yes,0,1.0,1,2,5,4,3,1,2,0,1,1,3,1,1
282,none,6,current loans paid,furniture/equipment,4611,< 100 DM,< 1 year,1,female-divorced/separated/married,none,4,building society savings/life insurance,32,none,own,1,skilled,1,none,yes,1,1.0,3,2,5,2,2,0,2,0,1,1,1,0,1
283,none,24,current loans paid,radio/television,1901,100 - 500 DM,1 - 4 years,4,male-single,none,4,car or other,29,none,rent,1,highly skilled,1,yes,yes,0,1.0,3,2,7,0,0,3,2,1,1,2,0,1,1
284,none,15,critical account - other non-bank loans,car (used),3368,>= 1000 DM,>= 7 years,3,male-single,none,4,unknown-none,23,none,rent,2,skilled,1,yes,yes,0,1.0,3,1,2,3,3,3,2,3,1,2,1,1,1
285,none,12,current loans paid,furniture/equipment,1574,< 100 DM,1 - 4 years,4,male-single,none,2,real estate,50,none,own,1,skilled,1,none,yes,0,1.0,3,2,5,2,0,3,2,2,1,1,1,0,1
286,> 200 DM or salary assignment,18,all loans at bank paid,radio/television,1445,unknown/none,4 - 7 years,4,male-single,none,4,car or other,49,bank,own,1,unskilled-resident,1,none,yes,0,1.0,2,0,7,4,1,3,2,1,0,1,3,0,1
287,none,15,critical account - other non-bank loans,furniture/equipment,1520,unknown/none,>= 7 years,4,male-single,none,4,building society savings/life insurance,63,none,own,1,skilled,1,none,yes,0,1.0,3,1,5,4,3,3,2,0,1,1,1,0,1
288,0 - 200 DM,24,critical account - other non-bank loans,car (new),3878,100 - 500 DM,< 1 year,4,male-divorced/separated,none,2,car or other,37,none,own,1,skilled,1,yes,yes,0,1.0,0,1,1,0,2,1,2,1,1,1,1,1,1
289,< 0 DM,47,current loans paid,car (new),10722,< 100 DM,< 1 year,1,female-divorced/separated/married,none,1,real estate,35,none,own,1,unskilled-resident,1,yes,yes,0,1.0,1,2,1,2,2,0,2,2,1,1,3,1,1
290,< 0 DM,48,current loans paid,car (used),4788,< 100 DM,4 - 7 years,4,male-single,none,3,building society savings/life insurance,26,none,own,1,skilled,2,none,yes,0,1.0,1,2,2,2,1,3,2,0,1,1,1,0,1
291,0 - 200 DM,48,past payment delays,other,7582,100 - 500 DM,unemployed,2,male-single,none,4,unknown-none,31,none,for free,1,highly skilled,1,yes,yes,0,1.0,0,4,6,0,4,3,2,3,1,0,0,1,1
292,0 - 200 DM,12,current loans paid,radio/television,1092,< 100 DM,1 - 4 years,4,female-divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled,1,yes,yes,0,1.0,0,2,7,2,0,0,1,2,1,1,1,1,1
293,< 0 DM,24,past payment delays,radio/television,1024,< 100 DM,< 1 year,4,male-married/widowed,none,4,real estate,48,stores,own,1,skilled,1,none,yes,1,1.0,1,4,7,2,2,2,2,2,2,1,1,0,1
294,none,12,current loans paid,business,1076,< 100 DM,1 - 4 years,2,male-married/widowed,none,2,real estate,26,none,own,1,skilled,1,yes,no,0,1.0,3,2,0,2,0,2,2,2,1,1,1,1,0
295,0 - 200 DM,36,current loans paid,car (used),9398,< 100 DM,< 1 year,1,male-married/widowed,none,4,car or other,28,none,rent,1,highly skilled,1,yes,yes,1,1.0,0,2,2,2,2,2,2,1,1,2,0,1,1
296,< 0 DM,24,critical account - other non-bank loans,car (used),6419,< 100 DM,>= 7 years,2,female-divorced/separated/married,none,4,unknown-none,44,none,for free,2,highly skilled,2,yes,yes,0,1.0,1,1,2,2,3,0,2,3,1,0,0,1,1
297,> 200 DM or salary assignment,42,critical account - other non-bank loans,car (used),4796,< 100 DM,>= 7 years,4,male-single,none,4,unknown-none,56,none,for free,1,skilled,1,none,yes,0,1.0,2,1,2,2,3,3,2,3,1,0,1,0,1
298,none,48,critical account - other non-bank loans,business,7629,unknown/none,>= 7 years,4,male-divorced/separated,none,2,car or other,46,bank,own,2,highly skilled,2,none,yes,0,1.0,3,1,0,4,3,1,2,1,0,1,0,0,1
299,0 - 200 DM,48,current loans paid,furniture/equipment,9960,< 100 DM,< 1 year,1,female-divorced/separated/married,none,2,car or other,26,none,own,1,skilled,1,yes,yes,1,1.0,0,2,5,2,2,0,2,1,1,1,1,1,1
300,none,12,current loans paid,car (used),4675,unknown/none,< 1 year,1,female-divorced/separated/married,none,4,car or other,20,none,rent,1,skilled,1,none,yes,0,1.0,3,2,2,4,2,0,2,1,1,2,1,0,1
301,none,10,current loans paid,car (new),1287,unknown/none,>= 7 years,4,male-single,co-applicant,2,building society savings/life insurance,45,none,own,1,unskilled-resident,1,none,no,0,1.0,3,2,1,4,3,3,0,0,1,1,3,0,0
302,none,18,current loans paid,furniture/equipment,2515,< 100 DM,1 - 4 years,3,male-single,none,4,real estate,43,none,own,1,skilled,1,yes,yes,0,1.0,3,2,5,2,0,3,2,2,1,1,1,1,1
303,0 - 200 DM,21,critical account - other non-bank loans,furniture/equipment,2745,>= 1000 DM,4 - 7 years,3,male-single,none,2,car or other,32,none,own,2,skilled,1,yes,yes,0,1.0,0,1,5,3,1,3,2,1,1,1,1,1,1
304,none,6,current loans paid,car (new),672,< 100 DM,unemployed,1,female-divorced/separated/married,none,4,real estate,54,none,own,1,unemployed-unskilled-non-resident,1,yes,yes,0,1.0,3,2,1,2,4,0,2,2,1,1,2,1,1
305,0 - 200 DM,36,no credit - paid,radio/television,3804,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,1,car or other,42,none,own,1,skilled,1,yes,yes,1,1.0,0,3,7,2,0,0,2,1,1,1,1,1,1
306,> 200 DM or salary assignment,24,critical account - other non-bank loans,car (new),1344,unknown/none,4 - 7 years,4,male-single,none,2,real estate,37,bank,own,2,unskilled-resident,2,none,yes,1,1.0,2,1,1,4,1,3,2,2,0,1,3,0,1
307,< 0 DM,10,critical account - other non-bank loans,car (new),1038,< 100 DM,4 - 7 years,4,male-single,co-applicant,3,building society savings/life insurance,49,none,own,2,skilled,1,yes,yes,0,1.0,1,1,1,2,1,3,0,0,1,1,1,1,1
308,none,48,critical account - other non-bank loans,car (new),10127,500 - 1000 DM,1 - 4 years,2,male-single,none,2,unknown-none,44,bank,for free,1,skilled,1,none,yes,1,1.0,3,1,1,1,0,3,2,3,0,0,1,0,1
309,none,6,current loans paid,furniture/equipment,1543,>= 1000 DM,1 - 4 years,4,male-divorced/separated,none,2,real estate,33,none,own,1,skilled,1,none,yes,0,1.0,3,2,5,3,0,1,2,2,1,1,1,0,1
310,none,30,current loans paid,car (used),4811,unknown/none,4 - 7 years,2,female-divorced/separated/married,none,4,building society savings/life insurance,24,stores,rent,1,unskilled-resident,1,none,yes,0,1.0,3,2,2,4,1,0,2,0,2,2,3,0,1
311,< 0 DM,12,current loans paid,radio/television,727,100 - 500 DM,< 1 year,4,male-married/widowed,none,3,unknown-none,33,none,own,1,unskilled-resident,1,yes,yes,1,1.0,1,2,7,0,2,2,2,3,1,1,3,1,1
312,0 - 200 DM,8,current loans paid,furniture/equipment,1237,< 100 DM,1 - 4 years,3,female-divorced/separated/married,none,4,real estate,24,none,own,1,skilled,1,none,yes,1,1.0,0,2,5,2,0,0,2,2,1,1,1,0,1
313,0 - 200 DM,9,current loans paid,car (new),276,< 100 DM,1 - 4 years,4,male-married/widowed,none,4,real estate,22,none,rent,1,unskilled-resident,1,none,yes,0,1.0,0,2,1,2,0,2,2,2,1,2,3,0,1
314,0 - 200 DM,48,current loans paid,other,5381,unknown/none,unemployed,3,male-single,none,4,unknown-none,40,bank,for free,1,unemployed-unskilled-non-resident,1,yes,yes,0,1.0,0,2,6,4,4,3,2,3,0,0,2,1,1
315,none,24,current loans paid,furniture/equipment,5511,100 - 500 DM,1 - 4 years,4,male-single,none,1,car or other,25,stores,own,1,skilled,1,none,yes,0,1.0,3,2,5,0,0,3,2,1,2,1,1,0,1
316,> 200 DM or salary assignment,24,current loans paid,furniture/equipment,3749,< 100 DM,< 1 year,2,female-divorced/separated/married,none,4,car or other,26,none,own,1,skilled,1,none,yes,0,1.0,2,2,5,2,2,0,2,1,1,1,1,0,1
317,0 - 200 DM,12,current loans paid,car (new),685,< 100 DM,4 - 7 years,2,male-married/widowed,none,3,car or other,25,bank,own,1,unskilled-resident,1,none,yes,1,1.0,0,2,1,2,1,2,2,1,0,1,3,0,1
318,> 200 DM or salary assignment,4,current loans paid,car (new),1494,unknown/none,< 1 year,1,male-single,none,2,real estate,29,none,own,1,unskilled-resident,2,none,no,0,1.0,2,2,1,4,2,3,2,2,1,1,3,0,0
319,< 0 DM,36,all loans at bank paid,furniture/equipment,2746,< 100 DM,>= 7 years,4,male-single,none,4,car or other,31,bank,own,1,skilled,1,none,yes,1,1.0,1,0,5,2,3,3,2,1,0,1,1,0,1
320,< 0 DM,12,current loans paid,furniture/equipment,708,< 100 DM,1 - 4 years,2,male-single,guarantor,3,building society savings/life insurance,38,none,own,1,unskilled-resident,2,none,yes,0,1.0,1,2,5,2,0,3,1,0,1,1,3,0,1
321,0 - 200 DM,24,current loans paid,furniture/equipment,4351,unknown/none,1 - 4 years,1,female-divorced/separated/married,none,4,building society savings/life insurance,48,none,own,1,unskilled-resident,1,yes,yes,0,1.0,0,2,5,4,0,0,2,0,1,1,3,1,1
322,none,12,critical account - other non-bank loans,education,701,< 100 DM,1 - 4 years,4,male-single,none,2,car or other,32,none,own,2,skilled,1,none,yes,0,1.0,3,1,4,2,0,3,2,1,1,1,1,0,1
323,< 0 DM,15,past payment delays,furniture/equipment,3643,< 100 DM,>= 7 years,1,female-divorced/separated/married,none,4,building society savings/life insurance,27,none,own,2,unskilled-resident,1,none,yes,0,1.0,1,4,5,2,3,0,2,0,1,1,3,0,1
324,0 - 200 DM,30,critical account - other non-bank loans,car (new),4249,< 100 DM,unemployed,4,male-married/widowed,none,2,car or other,28,none,own,2,highly skilled,1,none,yes,1,1.0,0,1,1,2,4,2,2,1,1,1,0,0,1
325,< 0 DM,24,current loans paid,radio/television,1938,< 100 DM,< 1 year,4,male-divorced/separated,none,3,building society savings/life insurance,32,none,own,1,skilled,1,none,yes,1,1.0,1,2,7,2,2,1,2,0,1,1,1,0,1
326,< 0 DM,24,current loans paid,car (used),2910,< 100 DM,4 - 7 years,2,male-single,none,1,unknown-none,34,none,for free,1,highly skilled,1,yes,yes,0,1.0,1,2,2,2,1,3,2,3,1,0,0,1,1
327,< 0 DM,18,current loans paid,furniture/equipment,2659,>= 1000 DM,1 - 4 years,4,male-single,none,2,car or other,28,none,own,1,skilled,1,none,yes,0,1.0,1,2,5,3,0,3,2,1,1,1,1,0,1
328,none,18,critical account - other non-bank loans,car (new),1028,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,3,real estate,36,none,own,2,skilled,1,none,yes,0,1.0,3,1,1,2,0,0,2,2,1,1,1,0,1
329,< 0 DM,8,critical account - other non-bank loans,car (new),3398,< 100 DM,4 - 7 years,1,male-single,none,4,real estate,39,none,own,2,unskilled-resident,1,none,no,0,1.0,1,1,1,2,1,3,2,2,1,1,3,0,0
330,none,12,critical account - other non-bank loans,furniture/equipment,5801,unknown/none,>= 7 years,2,male-single,none,4,building society savings/life insurance,49,none,rent,1,skilled,1,yes,yes,0,1.0,3,1,5,4,3,3,2,0,1,2,1,1,1
331,none,24,current loans paid,car (new),1525,>= 1000 DM,4 - 7 years,4,female-divorced/separated/married,none,3,car or other,34,none,own,1,skilled,2,yes,yes,0,1.0,3,2,1,3,1,0,2,1,1,1,1,1,1
332,> 200 DM or salary assignment,36,current loans paid,radio/television,4473,< 100 DM,>= 7 years,4,male-single,none,2,car or other,31,none,own,1,skilled,1,none,yes,0,1.0,2,2,7,2,3,3,2,1,1,1,1,0,1
333,0 - 200 DM,6,current loans paid,radio/television,1068,< 100 DM,>= 7 years,4,male-single,none,4,car or other,28,none,own,1,skilled,2,none,yes,0,1.0,0,2,7,2,3,3,2,1,1,1,1,0,1
334,< 0 DM,24,critical account - other non-bank loans,car (used),6615,< 100 DM,unemployed,2,male-single,none,4,unknown-none,75,none,for free,2,highly skilled,1,yes,yes,0,1.0,1,1,2,2,4,3,2,3,1,0,0,1,1
335,none,18,critical account - other non-bank loans,education,1864,100 - 500 DM,1 - 4 years,4,female-divorced/separated/married,none,2,real estate,30,none,own,2,skilled,1,none,yes,1,1.0,3,1,4,0,0,0,2,2,1,1,1,0,1
336,0 - 200 DM,60,current loans paid,car (new),7408,100 - 500 DM,< 1 year,4,female-divorced/separated/married,none,2,building society savings/life insurance,24,none,own,1,highly skilled,1,none,yes,1,1.0,0,2,1,0,2,0,2,0,1,1,0,0,1
337,none,48,critical account - other non-bank loans,car (used),11590,100 - 500 DM,1 - 4 years,2,female-divorced/separated/married,none,4,car or other,24,bank,rent,2,unskilled-resident,1,none,yes,1,1.0,3,1,2,0,0,0,2,1,0,2,3,0,1
338,< 0 DM,24,no credit - paid,furniture/equipment,4110,< 100 DM,>= 7 years,3,male-single,none,4,unknown-none,23,bank,rent,2,skilled,2,none,yes,1,1.0,1,3,5,2,3,3,2,3,0,2,1,0,1
339,< 0 DM,6,critical account - other non-bank loans,furniture/equipment,3384,< 100 DM,1 - 4 years,1,male-divorced/separated,none,4,real estate,44,none,rent,1,highly skilled,1,yes,yes,1,1.0,1,1,5,2,0,1,2,2,1,2,0,1,1
340,0 - 200 DM,13,current loans paid,radio/television,2101,< 100 DM,< 1 year,2,female-divorced/separated/married,guarantor,4,building society savings/life insurance,23,none,own,1,unskilled-resident,1,none,yes,0,1.0,0,2,7,2,2,0,1,0,1,1,3,0,1
341,< 0 DM,15,current loans paid,domestic appliances,1275,unknown/none,1 - 4 years,4,female-divorced/separated/married,none,2,car or other,24,none,rent,1,skilled,1,none,yes,1,1.0,1,2,3,4,0,0,2,1,1,2,1,0,1
342,< 0 DM,24,current loans paid,furniture/equipment,4169,< 100 DM,1 - 4 years,4,male-single,none,4,building society savings/life insurance,28,none,own,1,skilled,1,none,yes,0,1.0,1,2,5,2,0,3,2,0,1,1,1,0,1
343,0 - 200 DM,10,current loans paid,furniture/equipment,1521,< 100 DM,1 - 4 years,4,male-divorced/separated,none,2,car or other,31,none,own,1,unskilled-resident,1,none,yes,0,1.0,0,2,5,2,0,1,2,1,1,1,3,0,1
344,0 - 200 DM,24,critical account - other non-bank loans,education,5743,< 100 DM,< 1 year,2,female-divorced/separated/married,none,4,unknown-none,24,none,for free,2,skilled,1,yes,yes,0,1.0,0,1,4,2,2,0,2,3,1,0,1,1,1
345,< 0 DM,21,current loans paid,furniture/equipment,3599,< 100 DM,4 - 7 years,1,female-divorced/separated/married,none,4,car or other,26,none,rent,1,unskilled-resident,1,none,yes,0,1.0,1,2,5,2,1,0,2,1,1,2,3,0,1
346,0 - 200 DM,18,current loans paid,radio/television,3213,500 - 1000 DM,< 1 year,1,male-married/widowed,none,3,real estate,25,none,rent,1,skilled,1,none,yes,0,1.0,0,2,7,1,2,2,2,2,1,2,1,0,1
347,0 - 200 DM,18,current loans paid,business,4439,< 100 DM,>= 7 years,1,male-single,co-applicant,1,real estate,33,bank,own,1,highly skilled,1,yes,yes,0,1.0,0,2,0,2,3,3,0,2,0,1,0,1,1
348,> 200 DM or salary assignment,10,current loans paid,car (new),3949,< 100 DM,< 1 year,1,male-single,guarantor,1,building society savings/life insurance,37,none,own,1,unskilled-resident,2,none,yes,0,1.0,2,2,1,2,2,3,1,0,1,1,3,0,1
349,none,15,critical account - other non-bank loans,radio/television,1459,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,2,car or other,43,none,own,1,unskilled-resident,1,none,yes,0,1.0,3,1,7,2,0,0,2,1,1,1,3,0,1
350,0 - 200 DM,13,critical account - other non-bank loans,radio/television,882,< 100 DM,< 1 year,4,male-single,guarantor,4,real estate,23,none,own,2,skilled,1,none,yes,0,1.0,0,1,7,2,2,3,1,2,1,1,1,0,1
351,0 - 200 DM,24,current loans paid,radio/television,3758,500 - 1000 DM,unemployed,1,female-divorced/separated/married,none,4,unknown-none,23,none,rent,1,unemployed-unskilled-non-resident,1,none,yes,0,1.0,0,2,7,1,4,0,2,3,1,2,2,0,1
352,none,6,past payment delays,business,1743,100 - 500 DM,1 - 4 years,1,male-single,none,2,real estate,34,none,own,2,unskilled-resident,1,none,yes,0,1.0,3,4,0,0,0,3,2,2,1,1,3,0,1
353,0 - 200 DM,9,critical account - other non-bank loans,education,1136,>= 1000 DM,>= 7 years,4,male-single,none,3,unknown-none,32,none,for free,2,skilled,2,none,yes,1,1.0,0,1,4,3,3,3,2,3,1,0,1,0,1
354,none,9,current loans paid,domestic appliances,1236,< 100 DM,< 1 year,1,female-divorced/separated/married,none,4,real estate,23,none,rent,1,skilled,1,yes,yes,0,1.0,3,2,3,2,2,0,2,2,1,2,1,1,1
355,0 - 200 DM,9,current loans paid,furniture/equipment,959,< 100 DM,1 - 4 years,1,female-divorced/separated/married,none,2,car or other,29,none,own,1,skilled,1,none,no,1,1.0,0,2,5,2,0,0,2,1,1,1,1,0,0
356,none,18,critical account - other non-bank loans,car (used),3229,unknown/none,unemployed,2,male-single,none,4,unknown-none,38,none,own,1,highly skilled,1,yes,yes,0,1.0,3,1,2,4,4,3,2,3,1,1,0,1,1
357,< 0 DM,12,no credit - paid,radio/television,6199,< 100 DM,1 - 4 years,4,male-single,none,2,building society savings/life insurance,28,none,rent,2,skilled,1,yes,yes,1,1.0,1,3,7,2,0,3,2,0,1,2,1,1,1
358,none,10,current loans paid,education,727,500 - 1000 DM,>= 7 years,4,male-single,none,4,unknown-none,46,none,for free,1,skilled,1,yes,yes,0,1.0,3,2,4,1,3,3,2,3,1,0,1,1,1
359,0 - 200 DM,24,current loans paid,car (new),1246,< 100 DM,< 1 year,4,male-single,none,2,real estate,23,stores,own,1,unskilled-resident,1,none,yes,1,1.0,0,2,1,2,2,3,2,2,2,1,3,0,1
360,none,12,critical account - other non-bank loans,radio/television,2331,unknown/none,>= 7 years,1,male-single,co-applicant,4,real estate,49,none,own,1,skilled,1,yes,yes,0,1.0,3,1,7,4,3,3,0,2,1,1,1,1,1
361,none,36,past payment delays,radio/television,4463,< 100 DM,1 - 4 years,4,male-single,none,2,car or other,26,none,own,2,highly skilled,1,yes,yes,1,1.0,3,4,7,2,0,3,2,1,1,1,0,1,1
362,none,12,current loans paid,radio/television,776,< 100 DM,1 - 4 years,4,male-married/widowed,none,2,real estate,28,none,own,1,skilled,1,none,yes,0,1.0,3,2,7,2,0,2,2,2,1,1,1,0,1
363,< 0 DM,30,current loans paid,furniture/equipment,2406,< 100 DM,4 - 7 years,4,female-divorced/separated/married,none,4,real estate,23,none,rent,1,skilled,1,none,yes,1,1.0,1,2,5,2,1,0,2,2,1,2,1,0,1
364,0 - 200 DM,18,current loans paid,education,1239,unknown/none,1 - 4 years,4,male-single,none,4,unknown-none,61,none,for free,1,skilled,1,none,yes,0,1.0,0,2,4,4,0,3,2,3,1,0,1,0,1
365,> 200 DM or salary assignment,12,current loans paid,radio/television,3399,unknown/none,>= 7 years,2,male-single,none,3,car or other,37,none,own,1,highly skilled,1,none,yes,0,1.0,2,2,7,4,3,3,2,1,1,1,0,0,1
366,> 200 DM or salary assignment,12,past payment delays,car (new),2247,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,2,car or other,36,stores,own,2,skilled,1,yes,yes,0,1.0,2,4,1,2,0,0,2,1,2,1,1,1,1
367,none,6,current loans paid,furniture/equipment,1766,< 100 DM,1 - 4 years,1,male-married/widowed,none,2,building society savings/life insurance,21,none,rent,1,skilled,1,none,yes,0,1.0,3,2,5,2,0,2,2,0,1,2,1,0,1
368,< 0 DM,18,current loans paid,furniture/equipment,2473,< 100 DM,unemployed,4,male-single,none,1,car or other,25,none,own,1,unemployed-unskilled-non-resident,1,none,yes,1,1.0,1,2,5,2,4,3,2,1,1,1,2,0,1
369,none,12,current loans paid,business,1542,< 100 DM,4 - 7 years,2,male-single,none,4,car or other,36,none,own,1,skilled,1,yes,yes,0,1.0,3,2,0,2,1,3,2,1,1,1,1,1,1
370,none,18,critical account - other non-bank loans,car (used),3850,< 100 DM,4 - 7 years,3,male-single,none,1,car or other,27,none,own,2,skilled,1,none,yes,0,1.0,3,1,2,2,1,3,2,1,1,1,1,0,1
371,< 0 DM,18,current loans paid,furniture/equipment,3650,< 100 DM,< 1 year,1,female-divorced/separated/married,none,4,car or other,22,none,rent,1,skilled,1,none,yes,0,1.0,1,2,5,2,2,0,2,1,1,2,1,0,1
372,< 0 DM,36,current loans paid,furniture/equipment,3446,< 100 DM,>= 7 years,4,male-single,none,2,car or other,42,none,own,1,skilled,2,none,yes,1,1.0,1,2,5,2,3,3,2,1,1,1,1,0,1
373,0 - 200 DM,18,current loans paid,furniture/equipment,3001,< 100 DM,4 - 7 years,2,female-divorced/separated/married,none,4,real estate,40,none,rent,1,skilled,1,none,yes,0,1.0,0,2,5,2,1,0,2,2,1,2,1,0,1
